GSM1096221	C_ST_10d_6w_rep1
GSM1096222	C_ST_10d_6w_rep2
GSM1096223	C_ST_10d_6w_rep3
GSM1096224	C_ST_10d_6w_rep4
GSM1096225	C_ST_5d_1.5w_rep1
GSM1096226	C_ST_5d_1.5w_rep2
GSM1096227	C_ST_5d_1.5w_rep3
GSM1096228	C_ST_5d_1.5w_rep4
GSM1096229	C_ST_5d_1.5w_rep5
GSM1096230	C_ST_5d_24h_rep1
GSM1096231	C_ST_5d_24h_rep2
GSM1096232	C_ST_5d_24h_rep3
GSM1096233	C_ST_5d_24h_rep4
GSM1096234	C_ST_5d_24h_rep5
GSM1096235	C_VS_10d_24h_rep1
GSM1096236	C_VS_10d_24h_rep2
GSM1096237	C_VS_10d_24h_rep3
GSM1096238	C_VS_10d_6w_rep1
GSM1096239	C_VS_10d_6w_rep2
GSM1096240	C_VS_10d_6w_rep3
GSM1096241	C_VS_10d_6w_rep4
GSM1096242	C_VS_10d_6w_rep5
GSM1096243	C_VS_5d_1.5w_rep1
GSM1096244	C_VS_5d_1.5w_rep2
GSM1096245	C_VS_5d_1.5w_rep3
GSM1096246	C_VS_5d_1.5w_rep4
GSM1096247	C_VS_5d_1.5w_rep5
GSM1096248	C_VS_5d_24h_rep1
GSM1096249	C_VS_5d_24h_rep2
GSM1096250	C_VS_5d_24h_rep3
GSM1096251	C_VS_5d_24h_rep4
GSM1096252	C_VS_5d_24h_rep5
GSM1096253	SS_AY_10d_24h_rep1
GSM1096254	SS_AY_10d_24h_rep2
GSM1096255	SS_AY_10d_24h_rep3
GSM1096256	SS_AY_10d_24h_rep4
GSM1096257	SS_AY_10d_6w_rep1
GSM1096258	SS_AY_10d_6w_rep2
GSM1096259	SS_AY_10d_6w_rep3
GSM1096260	SS_AY_10d_6w_rep4
GSM1096261	SS_AY_5d_1.5w_rep1
GSM1096262	SS_AY_5d_1.5w_rep2
GSM1096263	SS_AY_5d_1.5w_rep3
GSM1096264	SS_AY_5d_1.5w_rep4
GSM1096265	SS_AY_5d_24h_rep1
GSM1096266	SS_AY_5d_24h_rep2
GSM1096267	SS_blood_10d_24h_rep1
GSM1096268	SS_blood_10d_24h_rep2
GSM1096269	SS_blood_10d_24h_rep3
GSM1096270	SS_blood_10d_24h_rep4
